Old stable ID, New stable ID, Release, Mapping score
ENSG00000233008.1, ENSG00000233008.2, 76, 1
ENSG00000233008.2, ENSG00000233008.3, 77, 1
ENSG00000233008.3, ENSG00000233008.4, 79, 1
ENSG00000233008.4, ENSG00000233008.5, 81, 1
ENSG00000233008.5, ENSG00000233008.6, 97, 0.613804
ENSG00000233008.6, ENSG00000233008.6, 98, 0.9
ENSG00000233008.6, ENSG00000233008.6, 99, 0.9
ENSG00000233008.6, ENSG00000233008.6, 100, 0.9
ENSG00000233008.6, ENSG00000233008.7, 105, 0.952433

Old stable ID, New stable ID, Release, Mapping score
ENSG00000261404.1, ENSG00000261404.2, 76, 1
ENSG00000261404.2, ENSG00000261404.3, 77, 1
ENSG00000261404.3, ENSG00000261404.4, 79, 1
ENSG00000261404.4, ENSG00000261404.5, 81, 1
ENSG00000261404.5, ENSG00000261404.6, 90, 0.475076
ENSG00000261404.6, ENSG00000261404.7, 94, 0.924929
ENSG00000261404.7, ENSG00000261404.7, 98, 0.9
ENSG00000261404.7, ENSG00000261404.7, 99, 0.9
ENSG00000261404.7, ENSG00000261404.7, 100, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000250107.1, ENSG00000250107.1, 92, 0.72
ENSG00000250107.1, ENSG00000250107.1, 98, 0.9
ENSG00000250107.1, ENSG00000250107.1, 99, 0.9
ENSG00000250107.1, ENSG00000250107.1, 100, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238164.1, ENSG00000238164.2, 56, 0.800314
ENSG00000238164.2, ENSG00000238164.3, 76, 1
ENSG00000238164.3, ENSG00000238164.4, 77, 1
ENSG00000238164.4, ENSG00000238164.5, 79, 0.938464
ENSG00000238164.5, ENSG00000238164.6, 81, 1
ENSG00000238164.6, ENSG00000238164.6, 92, 0.72
ENSG00000238164.6, ENSG00000238164.6, 98, 0.9
ENSG00000238164.6, ENSG00000238164.6, 99, 0.9
ENSG00000238164.6, ENSG00000238164.6, 100, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000197989.1, ENSG00000197989.2, 38, 0
ENSG00000197989.2, ENSG00000197989.3, 47, 0.508366
ENSG00000197989.3, ENSG00000197989.4, 50, 0.983269
ENSG00000197989.4, ENSG00000197989.5, 55, 0.982554
ENSG00000197989.5, ENSG00000197989.6, 56, 0.709571
ENSG00000197989.6, ENSG00000197989.7, 61, 0.99894
ENSG00000197989.7, ENSG00000197989.8, 62, 0.99894
ENSG00000197989.8, ENSG00000197989.9, 73, 0.99112
